Category,Priority,Title,Venue,Year,File,PDF_URL,Relevance
01_GFlowNet,Core,GFlowNet Foundations,JMLR,2023,01_GFlowNet/01_GFlowNet_Foundations_JMLR_2023.pdf,https://jmlr.org/papers/volume24/22-0364/22-0364.pdf,Core flow and reward-proportional sampling theory
01_GFlowNet,Core,Trajectory Balance: Improved Credit Assignment in GFlowNets,NeurIPS,2022,01_GFlowNet/02_Trajectory_Balance_NeurIPS_2022.pdf,https://arxiv.org/pdf/2201.13259,Required learning baseline
01_GFlowNet,Core,Learning GFlowNets from Partial Episodes for Improved Convergence and Stability,ICML,2023,01_GFlowNet/03_Subtrajectory_Balance_ICML_2023.pdf,https://arxiv.org/pdf/2209.12782,SubTB baseline and partial-trajectory credit
01_GFlowNet,Core,Better Training of GFlowNets with Local Credit and Incomplete Trajectories,ICML,2023,01_GFlowNet/04_FL_GFN_ICML_2023.pdf,https://arxiv.org/pdf/2302.01687,FL-GFN baseline and intermediate-energy assumptions
01_GFlowNet,Core,Towards Understanding and Improving GFlowNet Training,ICML,2023,01_GFlowNet/05_GFlowNet_Training_Analysis_ICML_2023.pdf,https://arxiv.org/pdf/2305.07170,Replay parameterization and practical training analysis
01_GFlowNet,Core,Learning Energy Decompositions for Partial Inference in GFlowNets,ICLR,2024,01_GFlowNet/06_LED_GFN_ICLR_2024.pdf,https://arxiv.org/pdf/2310.03301,Closest baseline for non-additive terminal utility
01_GFlowNet,Core,Generative Augmented Flow Networks,ICLR,2023,01_GFlowNet/07_GAFlowNets_ICLR_2023.pdf,https://arxiv.org/pdf/2210.03308,Intermediate intrinsic-reward baseline
01_GFlowNet,Core,When Do GFlowNets Learn the Right Distribution?,ICLR,2025,01_GFlowNet/08_When_Do_GFlowNets_Learn_Right_Distribution_ICLR_2025.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/a48f8928f78a58399ef0049453c14b02-Paper-Conference.pdf,Distribution correctness and GNN expressivity
01_GFlowNet,Core,Generalization and Distributed Learning of GFlowNets,ICLR,2025,01_GFlowNet/09_Generalization_Distributed_GFlowNets_ICLR_2025.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/000eba875068854d5ff003b1fa534cd6-Paper-Conference.pdf,Generalization versus state-space size
01_GFlowNet,Core,Symmetry-Aware GFlowNets,ICML,2025,01_GFlowNet/10_Symmetry_Aware_GFlowNets_ICML_2025.pdf,https://arxiv.org/pdf/2506.02685,Canonicalization and equivalent-action bias
01_GFlowNet,Core,Order-Preserving GFlowNets,ICLR,2024,01_GFlowNet/11_Order_Preserving_GFlowNets_ICLR_2024.pdf,https://arxiv.org/pdf/2310.00386,Ordinal-reward conditional baseline
01_GFlowNet,Core,COFlowNet: Conservative Constraints on Flows Enable High-Quality Candidate Generation,ICLR,2025,01_GFlowNet/12_COFlowNet_ICLR_2025.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/1a379b51d7ec80b32d8c14f40c281ce1-Paper-Conference.pdf,Offline conservative-flow baseline
01_GFlowNet,Core,Robust Scheduling with GFlowNets,ICLR,2023,01_GFlowNet/13_Robust_Scheduling_GFlowNets_ICLR_2023.pdf,https://arxiv.org/pdf/2302.05446,Constrained construction and proxy mismatch
01_GFlowNet,Core,Let the Flows Tell: Solving Graph Combinatorial Optimization Problems with GFlowNets,NeurIPS,2023,01_GFlowNet/14_Let_the_Flows_Tell_NeurIPS_2023.pdf,https://arxiv.org/pdf/2305.17010,Graph combinatorial optimization precedent
01_GFlowNet,Supporting,SynFlowNet: Towards Molecule Design with Guaranteed Synthesis Pathways,ICLR,2025,01_GFlowNet/15_SynFlowNet_ICLR_2025.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/7495fa446f10e9edef6e47b2d327596e-Paper-Conference.pdf,Marginal: domain constraints in construction already covered by Robust Scheduling
01_GFlowNet,Provisional,Baking Symmetry into GFlowNets,NeurIPS AI4Science Workshop,2023,01_GFlowNet/16_Baking_Symmetry_Workshop_2023.pdf,https://arxiv.org/pdf/2406.05426,Workshop precursor superseded by Symmetry-Aware GFlowNets
01_GFlowNet,Supporting,Local Search GFlowNets,ICLR,2024,01_GFlowNet/17_Local_Search_GFlowNets_ICLR_2024.pdf,https://arxiv.org/pdf/2310.02710,Exploration and local refinement baseline
01_GFlowNet,Supporting,Pessimistic Backward Policy for GFlowNets,NeurIPS,2024,01_GFlowNet/18_PBP_GFN_NeurIPS_2024.pdf,https://arxiv.org/pdf/2405.16012,Backward-policy and exploration study
01_GFlowNet,Supporting,Optimizing Backward Policies in GFlowNets via Trajectory Likelihood Maximization,ICLR,2025,01_GFlowNet/19_Optimizing_Backward_Policies_ICLR_2025.pdf,https://arxiv.org/pdf/2410.15474,Backward-policy optimization
01_GFlowNet,Supporting,Multi-Objective GFlowNets,ICML,2023,01_GFlowNet/20_Multi_Objective_GFlowNets_ICML_2023.pdf,https://proceedings.mlr.press/v202/jain23a/jain23a.pdf,Marginal: relevant only to weighting the six-term terminal utility
01_GFlowNet,Supporting,Distributional GFlowNets with Quantile Flows,ICLR,2024,01_GFlowNet/21_Distributional_GFlowNets_Quantile_Flows_ICLR_2024.pdf,https://arxiv.org/pdf/2302.05793,Marginal: was cited for dual-mass which v1.1 dropped
01_GFlowNet,Supporting,Beyond Squared Error: Exploring Loss Design for Enhanced Training of GFlowNets,arXiv,2024,01_GFlowNet/22_Beyond_Squared_Error_GFlowNets_2024.pdf,https://arxiv.org/pdf/2410.02596,Loss-design study
01_GFlowNet,Supporting,Enhanced Data Synthesis for LLM through Reasoning Structures Generated by Hierarchical GFlowNet,Findings of ACL,2025,01_GFlowNet/23_Hierarchical_GFlowNet_Data_Synthesis_Findings_ACL_2025.pdf,https://aclanthology.org/2025.findings-acl.821.pdf,Marginal: related work only not a baseline
01_GFlowNet,Provisional,Benchmarking GFlowNets against MCMC: The Role of Peak Structure,Journal of Advances in Computing,2025,01_GFlowNet/24_Benchmarking_GFlowNets_vs_MCMC_2025.pdf,https://journal.ut.ac.ir/article_106220_565b5b56aeb6a2e1813f39d7ffebcd62.pdf,Non-A/A* venue: must not carry a central claim
01_GFlowNet,Baseline,FlowRL: Matching Reward Distributions for LLM Reasoning,ICLR,2026,01_GFlowNet/25_FlowRL_ICLR_2026.pdf,https://arxiv.org/pdf/2509.15207,Distribution-matching RL comparator
01_GFlowNet,Supporting,Flow of Reasoning: Training LLMs for Divergent Reasoning with Minimal Examples,ICML,2025,01_GFlowNet/26_Flow_of_Reasoning_ICML_2025.pdf,https://arxiv.org/pdf/2406.05673,Flow-based divergent reasoning
01_GFlowNet,Supporting,Amortizing Intractable Inference in Large Language Models,ICLR,2024,01_GFlowNet/27_Amortizing_Intractable_Inference_LLMs_ICLR_2024.pdf,https://arxiv.org/pdf/2310.04363,Marginal: fine-tunes the LLM whereas GRAFT freezes it
01_GFlowNet,Supporting,Policy Invariance Under Reward Transformations: Theory and Application to Reward Shaping,ICML,1999,01_GFlowNet/28_Policy_Invariance_Reward_Transformations_ICML_1999.pdf,https://people.eecs.berkeley.edu/~russell/papers/icml99-shaping.pdf,Cited only to show RL reward shaping does not transfer to GFlowNets
02_Agent_Memory,Core,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,ECAI,2025,02_Agent_Memory/01_Mem0_ECAI_2025.pdf,https://arxiv.org/pdf/2504.19413,Memory extraction updates and graph-memory system baseline
02_Agent_Memory,Core,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,arXiv,2025,02_Agent_Memory/02_Zep_Temporal_Knowledge_Graph_2025.pdf,https://arxiv.org/pdf/2501.13956,Bitemporal graph provenance and invalidation
02_Agent_Memory,Core,Memory-R1: Enhancing LLM Agents to Manage and Utilize Memories via Reinforcement Learning,ACL,2026,02_Agent_Memory/03_Memory_R1_ACL_2026.pdf,https://aclanthology.org/2026.acl-long.583.pdf,Memory-operation RL and PPO/GRPO/SFT comparison
02_Agent_Memory,Core,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,ICLR,2025,02_Agent_Memory/04_LongMemEval_ICLR_2025.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/d813d324dbf0598bbdc9c8e79740ed01-Paper-Conference.pdf,Primary long-term-memory benchmark
02_Agent_Memory,Core,Evaluating Very Long-Term Conversational Memory of LLM Agents,ACL,2024,02_Agent_Memory/05_LoCoMo_ACL_2024.pdf,https://aclanthology.org/2024.acl-long.747.pdf,Secondary benchmark with turn-level evidence IDs and released event graphs
02_Agent_Memory,Core,Agentic Memory: Learning Unified Long-Term and Short-Term Memory Management for Large Language Model Agents,ACL,2026,02_Agent_Memory/06_AgeMem_ACL_2026.pdf,https://aclanthology.org/2026.acl-long.981.pdf,Progressive RL and step-wise GRPO baseline
02_Agent_Memory,Baseline,Chain-of-Memory: Lightweight Memory Construction with Dynamic Evolution for LLM Agents,ACL,2026,02_Agent_Memory/07_Chain_of_Memory_ACL_2026.pdf,https://aclanthology.org/2026.acl-long.534.pdf,Counterevidence: 7.5-10.4% gains at ~2.7% token cost of complex memory
02_Agent_Memory,Supporting,StructMem: Structured Memory for Long-Horizon Behavior in LLMs,ACL,2026,02_Agent_Memory/08_StructMem_ACL_2026.pdf,https://aclanthology.org/2026.acl-short.12.pdf,Event-level bindings overlapping Contribution 1
02_Agent_Memory,Core,Structured Episodic Event Memory,ACL,2026,02_Agent_Memory/09_SEEM_ACL_2026.pdf,https://aclanthology.org/2026.acl-long.277.pdf,Graph plus episodic memory with explicit provenance pointers
02_Agent_Memory,Baseline,HyperMem: Hypergraph Memory for Long-Term Conversations,ACL,2026,02_Agent_Memory/10_HyperMem_ACL_2026.pdf,https://aclanthology.org/2026.acl-long.1627.pdf,Closest structured-memory competitor reporting 92.73% LLM-judge on LoCoMo
02_Agent_Memory,Core,How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior,ACL,2026,02_Agent_Memory/11_How_Memory_Management_Impacts_LLM_Agents_ACL_2026.pdf,https://aclanthology.org/2026.acl-long.27.pdf,Empirical evidence for error propagation and misaligned replay
03_Graph_Construction,Core,Heterogeneous Graph Transformer,WWW,2020,03_Graph_Construction/01_HGT_WWW_2020.pdf,https://arxiv.org/pdf/2003.01332,Primary heterogeneous and temporal GNN encoder baseline
03_Graph_Construction,Core,Composition-based Multi-Relational Graph Convolutional Networks,ICLR,2020,03_Graph_Construction/02_CompGCN_ICLR_2020.pdf,https://arxiv.org/pdf/1911.03082,Relational GNN encoder baseline
03_Graph_Construction,Core,Do We Really Need Complicated Model Architectures for Temporal Networks?,ICLR,2023,03_Graph_Construction/03_GraphMixer_ICLR_2023.pdf,https://arxiv.org/pdf/2302.11636,Strong simple temporal-network baseline
03_Graph_Construction,Baseline,Modeling Relational Data with Graph Convolutional Networks,ESWC,2018,03_Graph_Construction/04_R_GCN_ESWC_2018.pdf,https://arxiv.org/pdf/1703.06103,Canonical relational GNN baseline
03_Graph_Construction,Supporting,Learning Dynamic Belief Graphs to Generalize on Text-Based Games,NeurIPS,2020,03_Graph_Construction/05_GATA_Dynamic_Belief_Graphs_NeurIPS_2020.pdf,https://proceedings.neurips.cc/paper_files/paper/2020/file/1fc30b9d4319760b04fab735fbfed9a9-Paper.pdf,Prior art bounding the novelty of learned incremental graph construction
03_Graph_Construction,Core,RAED: Retrieval-Augmented Entity Description Generation for Emerging Entity Linking and Disambiguation,EMNLP,2025,03_Graph_Construction/06_RAED_Emerging_Entity_Linking_EMNLP_2025.pdf,https://aclanthology.org/2025.emnlp-main.1746.pdf,Open-world and emerging-entity handling for decoder D1
03_Graph_Construction,Core,Learn to Not Link: Exploring NIL Prediction in Entity Linking,Findings of ACL,2023,03_Graph_Construction/07_Learn_to_Not_Link_Findings_ACL_2023.pdf,https://aclanthology.org/2023.findings-acl.690.pdf,Missing-entity versus non-entity split underlying the D1 action space
